Date,Open,High,Low,Close,Adj Close,Volume
2019-12-20,322.470001,322.470001,316.910004,319.000000,305.065399,5054000
2019-12-23,320.540009,322.329987,317.609985,319.529999,305.572235,2025400
2019-12-24,320.000000,320.679993,319.010010,320.500000,306.499878,702400
2019-12-26,321.269989,321.739990,316.820007,317.980011,304.089966,1584800
2019-12-27,319.299988,319.350006,315.220001,316.529999,302.703278,1448700
2019-12-30,316.519989,317.329987,312.750000,313.459991,299.767365,1310400
2019-12-31,313.119995,316.359985,312.799988,316.019989,302.215546,1248700
2020-01-02,319.320007,322.500000,317.320007,322.390015,308.307312,2032900
2020-01-03,317.510010,320.000000,314.079987,314.190002,300.465515,2287000
2020-01-06,310.850006,313.920013,309.630005,313.720001,300.016022,2078900
2020-01-07,315.250000,316.579987,312.250000,312.640015,298.983215,1856500
2020-01-08,312.980011,313.489990,308.410004,308.739990,295.253540,3197900
2020-01-09,312.320007,312.989990,303.049988,306.260010,292.881927,4239700
2020-01-10,305.450012,305.549988,298.799988,299.220001,286.149384,4070500
2020-01-13,300.019989,303.799988,299.670013,301.179993,288.023773,2205400
2020-01-14,302.000000,309.149994,301.589996,308.179993,294.718018,2891100
2020-01-15,307.309998,307.880005,300.700012,303.140015,289.898193,2273300
2020-01-16,305.000000,307.859985,304.209991,307.049988,293.637360,2150800
2020-01-17,308.660004,308.940002,304.070007,308.790009,295.301392,2689600
2020-01-21,307.799988,309.510010,306.329987,308.070007,294.612793,2196700
2020-01-22,310.799988,317.920013,310.500000,312.970001,299.298798,2926400
2020-01-23,315.179993,319.799988,310.820007,319.649994,305.686951,3026600
2020-01-24,330.500000,331.579987,320.769989,324.000000,309.846954,5578200
2020-01-27,316.410004,319.880005,308.640015,309.029999,295.530884,3884300
2020-01-28,313.529999,319.230011,312.769989,318.309998,304.405518,2316600
2020-01-29,320.820007,325.429993,317.140015,317.510010,303.640472,2366800
2020-01-30,314.320007,315.519989,308.589996,315.200012,301.431396,2112800
2020-01-31,314.160004,314.579987,303.619995,305.160004,291.829926,2212300
2020-02-03,305.630005,306.600006,303.640015,305.230011,291.896881,2128800
2020-02-04,311.790009,314.570007,309.649994,311.600006,297.988617,2255900
2020-02-05,317.500000,319.809998,315.859985,317.380005,303.516144,2482500
2020-02-06,318.839996,319.880005,314.230011,319.690002,305.725220,2268300
2020-02-07,318.320007,318.519989,314.869995,315.230011,301.460114,1588300
2020-02-10,312.369995,314.600006,310.299988,314.200012,300.475067,1921800
2020-02-11,316.649994,320.790009,316.010010,320.160004,306.174713,1552700
2020-02-12,322.040009,325.089996,321.630005,324.700012,310.516388,1531000
2020-02-13,321.480011,325.459991,320.950012,323.970001,309.818268,1385700
2020-02-14,324.839996,325.700012,317.100006,317.769989,303.889130,1913700
2020-02-18,315.000000,315.010010,308.049988,310.750000,297.175751,2669300
2020-02-19,313.000000,316.829987,311.700012,315.690002,301.899994,2052500
2020-02-20,313.959991,315.690002,306.119995,309.239990,295.731689,2552100
2020-02-21,308.500000,309.450012,302.290009,304.500000,291.198792,2452200
2020-02-24,294.200012,298.799988,290.059998,291.600006,278.862274,3684900
2020-02-25,294.109985,295.730011,281.070007,282.679993,270.331940,3189200
2020-02-26,284.350006,288.200012,284.000000,285.880005,273.392151,2307400
2020-02-27,280.299988,285.309998,273.540009,273.950012,261.983276,3483700
2020-02-28,263.329987,274.130005,262.739990,272.619995,260.711365,4460400
2020-03-02,276.760010,285.399994,271.149994,284.970001,272.521881,3197600
2020-03-03,284.649994,288.480011,271.570007,274.250000,262.270142,2993000
2020-03-04,277.540009,285.720001,274.769989,285.450012,272.980927,2347700
2020-03-05,277.260010,283.089996,272.450012,274.040009,262.069336,2437400
2020-03-06,266.980011,270.929993,262.500000,269.450012,257.679840,3016900
2020-03-09,251.080002,260.269989,244.250000,247.720001,236.899063,4393400
2020-03-10,256.589996,263.679993,243.399994,262.899994,251.415939,5507100
2020-03-11,253.880005,256.489990,242.490005,245.970001,235.225494,3603000
2020-03-12,226.990005,242.759995,216.320007,218.779999,209.223221,6428100
2020-03-13,225.509995,234.470001,201.160004,234.220001,223.988754,8471400
2020-03-16,208.179993,218.800003,180.229996,187.580002,179.386108,7693500
2020-03-17,191.820007,200.009995,181.479996,199.509995,190.794952,7066200
2020-03-18,185.660004,187.479996,155.669998,167.869995,160.537064,9899300
2020-03-19,167.639999,207.470001,165.000000,194.449997,185.955994,7443800
2020-03-20,202.000000,208.679993,187.910004,192.220001,186.948013,7404400
2020-03-23,192.880005,195.970001,177.750000,193.470001,188.163727,4692100
2020-03-24,205.639999,218.710007,201.289993,212.759995,206.924667,6297000
2020-03-25,212.190002,244.000000,209.220001,217.550003,211.583313,6444200
2020-03-26,226.029999,244.800003,226.029999,243.169998,236.500626,6021300
2020-03-27,233.000000,242.089996,230.000000,230.690002,224.362915,3944800
2020-03-30,232.199997,241.360001,228.440002,240.110001,233.524536,5234300
2020-03-31,238.000000,252.710007,236.059998,237.100006,230.597107,5019100
2020-04-01,227.990005,234.410004,219.679993,223.630005,217.496552,4185800
2020-04-02,222.399994,237.949997,221.449997,237.059998,230.558197,4504900
2020-04-03,236.639999,242.550003,230.550003,234.259995,227.834991,2896000
2020-04-06,244.580002,253.410004,243.559998,252.440002,245.516388,3886800
2020-04-07,261.839996,265.500000,252.529999,253.270004,246.323624,4589200
2020-04-08,256.769989,262.200012,253.639999,261.100006,253.938873,2756500
2020-04-09,265.790009,267.500000,251.309998,254.300003,247.325363,3482800
2020-04-13,253.500000,261.519989,252.800003,259.920013,252.791245,2572900
2020-04-14,266.119995,268.380005,262.320007,267.630005,260.289764,2309400
2020-04-15,261.000000,262.320007,256.160004,257.440002,250.379227,2592600
2020-04-16,261.760010,261.760010,254.110001,258.290009,251.205933,2689600
2020-04-17,263.220001,267.429993,258.940002,265.880005,258.587799,3408900
2020-04-20,260.000000,265.260010,257.910004,258.279999,251.196213,2380100
2020-04-21,254.559998,254.789993,246.800003,247.649994,240.857742,2913800
2020-04-22,254.770004,262.220001,250.740005,259.970001,252.839844,3543800
2020-04-23,260.250000,265.200012,258.519989,258.929993,251.828369,2165900
2020-04-24,259.809998,265.070007,258.880005,264.809998,257.547089,2342500
2020-04-27,264.350006,271.220001,264.350006,268.450012,261.087311,1658800
2020-04-28,274.239990,276.410004,264.119995,264.730011,257.469299,1898800
2020-04-29,271.079987,276.989990,269.230011,276.019989,268.449646,2887100
2020-04-30,273.529999,274.049988,268.799988,271.619995,264.170319,2337900
2020-05-01,266.000000,267.850006,258.200012,259.700012,252.577255,2683600
2020-05-04,259.209991,262.429993,255.320007,262.260010,255.067047,1704600
2020-05-05,266.549988,268.940002,263.709991,264.869995,257.605469,2646200
2020-05-06,268.329987,270.480011,263.619995,264.179993,256.934387,2272700
2020-05-07,270.000000,270.470001,266.000000,267.750000,260.406494,1823800
2020-05-08,272.200012,275.549988,270.029999,275.029999,267.486786,1676700
2020-05-11,273.369995,276.739990,271.750000,275.399994,267.846649,2085100
2020-05-12,276.579987,277.720001,268.220001,268.450012,261.087311,1876400
2020-05-13,270.070007,270.329987,259.359985,263.149994,255.932648,2192700
2020-05-14,260.959991,266.950012,254.750000,266.600006,259.287994,1991200
2020-05-15,259.420013,264.059998,256.769989,260.410004,253.267792,2165000
2020-05-18,268.619995,276.730011,268.000000,273.529999,266.027954,2653700
2020-05-19,273.529999,276.029999,271.609985,271.950012,264.491302,1870200
2020-05-20,276.970001,281.309998,276.079987,278.679993,271.036682,1860500
2020-05-21,278.920013,279.500000,274.649994,274.799988,267.263123,1484700
2020-05-22,273.739990,277.250000,270.510010,276.649994,269.062378,1745200
2020-05-26,285.000000,287.089996,281.390015,282.019989,274.285065,2357300
2020-05-27,283.019989,287.799988,280.000000,287.589996,279.702332,2281200
2020-05-28,285.000000,289.299988,282.429993,283.140015,275.374420,1854300
2020-05-29,282.899994,292.000000,281.910004,291.269989,283.281372,2732400
2020-06-01,290.420013,291.100006,287.369995,289.989990,282.036499,1844400
2020-06-02,291.029999,298.320007,290.089996,298.059998,289.885162,3184700
2020-06-03,301.049988,310.850006,300.510010,309.529999,301.040588,3192600
2020-06-04,305.750000,313.000000,302.100006,308.890015,300.418152,3499700
2020-06-05,319.700012,328.109985,315.089996,317.079987,308.383484,5095800
2020-06-08,317.500000,318.839996,313.359985,317.519989,308.811462,2391600
2020-06-09,312.000000,318.880005,311.570007,315.320007,306.671783,2233500
2020-06-10,316.649994,319.209991,314.700012,315.040009,306.399475,2591400
2020-06-11,307.619995,308.549988,293.399994,293.750000,285.693390,4511500
2020-06-12,302.820007,303.950012,292.730011,300.250000,292.015106,3942500
2020-06-15,295.000000,306.750000,292.410004,304.089996,295.749786,2982400
2020-06-16,310.000000,314.549988,304.000000,310.720001,302.197937,3038700
2020-06-17,313.420013,316.709991,311.790009,313.440002,304.843353,2026600
2020-06-18,312.119995,319.119995,311.519989,318.709991,309.968811,3362500
2020-06-19,317.679993,318.100006,302.769989,302.769989,297.499664,5843400
2020-06-22,305.500000,314.179993,303.529999,313.540009,308.082214,2719500
2020-06-23,315.059998,317.440002,311.290009,311.299988,305.881195,2241900
2020-06-24,309.200012,310.970001,304.510010,306.970001,301.626587,1909600
2020-06-25,306.059998,309.480011,303.000000,308.850006,303.473877,1502900
2020-06-26,313.570007,315.779999,303.149994,307.410004,302.058929,3142500
2020-06-29,308.070007,310.410004,304.450012,309.779999,304.387665,1451600
2020-06-30,309.950012,317.070007,306.750000,315.609985,310.116180,2512500
2020-07-01,315.109985,316.850006,311.940002,312.730011,307.286346,1566100
2020-07-02,317.750000,319.380005,314.660004,315.470001,309.978638,1663800
2020-07-06,320.000000,320.989990,317.339996,318.790009,313.240845,1756100
2020-07-07,317.339996,318.160004,312.549988,313.119995,307.669525,1615000
2020-07-08,316.140015,319.839996,314.119995,319.570007,314.007263,1802300
2020-07-09,320.010010,324.329987,315.250000,321.500000,315.903687,2522500
2020-07-10,321.910004,322.989990,315.440002,319.440002,313.879517,1328000
2020-07-13,321.679993,323.529999,310.579987,311.309998,305.891022,2154900
2020-07-14,308.989990,316.220001,305.190002,315.079987,309.595398,1836300
2020-07-15,315.950012,317.769989,310.170013,313.779999,308.318054,1525300
2020-07-16,310.609985,313.880005,309.299988,311.339996,305.920502,1292900
2020-07-17,314.149994,315.209991,310.000000,312.709991,307.266663,1335400
2020-07-20,311.850006,317.649994,310.260010,317.130005,311.609741,1432300
2020-07-21,319.230011,319.230011,312.670013,314.339996,308.868286,1434800
2020-07-22,315.010010,315.679993,310.369995,313.799988,308.337677,1440400
2020-07-23,313.369995,316.089996,308.380005,309.670013,304.279602,1941700
2020-07-24,306.589996,310.910004,304.179993,305.790009,300.467133,1563100
2020-07-27,308.299988,312.959991,307.489990,312.679993,307.237183,2064600
2020-07-28,311.179993,312.109985,306.160004,307.350006,302.000000,1397400
2020-07-29,308.529999,311.230011,307.440002,308.850006,303.473877,1656200
2020-07-30,306.000000,312.929993,306.000000,312.100006,306.667267,2125900
2020-07-31,314.700012,318.399994,311.399994,316.750000,311.236359,2471900
2020-08-03,318.000000,323.489990,317.279999,321.230011,315.638367,2079600
2020-08-04,320.500000,328.589996,320.390015,328.390015,322.673737,2525800
2020-08-05,328.250000,331.579987,325.799988,329.540009,323.803711,2229900
2020-08-06,327.769989,330.880005,325.410004,329.160004,323.430328,1419300
2020-08-07,328.390015,329.730011,321.480011,325.929993,320.256531,1419200
2020-08-10,324.220001,329.269989,324.059998,327.359985,321.661652,1198900
2020-08-11,327.570007,333.320007,322.760010,324.029999,318.389648,1931600
2020-08-12,325.850006,335.880005,325.359985,333.640015,327.832367,1847600
2020-08-13,332.209991,333.410004,327.850006,329.420013,323.685822,1509500
2020-08-14,328.019989,329.850006,326.000000,327.820007,322.113678,1014000
2020-08-17,329.510010,331.790009,329.000000,330.320007,324.570129,1059400
2020-08-18,331.859985,333.179993,328.140015,328.640015,322.919403,885700
2020-08-19,329.470001,333.089996,328.239990,329.209991,323.479431,1127300
2020-08-20,327.690002,329.989990,326.059998,328.829987,323.106079,891000
2020-08-21,328.299988,330.459991,325.000000,330.019989,324.275330,1150800
2020-08-24,332.010010,336.190002,331.140015,334.000000,328.186066,1199600
2020-08-25,335.000000,337.089996,333.000000,336.140015,330.288818,1114000
2020-08-26,334.739990,341.510010,333.510010,339.670013,333.757385,1484400
2020-08-27,340.489990,341.299988,336.140015,339.140015,333.236603,1255200
2020-08-28,339.000000,344.820007,337.700012,344.820007,338.817749,1458900
2020-08-31,343.519989,350.579987,343.519989,347.149994,341.107178,2222900
2020-09-01,350.000000,362.070007,347.420013,359.540009,353.281494,2925900
2020-09-02,365.859985,378.959991,363.570007,375.010010,368.482208,3705300
2020-09-03,366.010010,368.899994,350.160004,352.089996,345.961182,4179500
2020-09-04,360.970001,372.529999,353.500000,362.950012,356.632141,5851400
2020-09-08,352.660004,362.750000,350.000000,350.540009,344.438171,2668500
2020-09-09,356.160004,361.850006,351.100006,360.029999,353.762970,2627300
2020-09-10,362.130005,367.829987,354.390015,357.079987,350.864288,2285100
2020-09-11,360.500000,364.269989,354.679993,359.700012,353.438751,1736200
2020-09-14,364.410004,365.890015,359.350006,362.200012,355.895233,1644700
2020-09-15,366.299988,371.119995,365.350006,366.910004,360.523224,1661800
2020-09-16,368.179993,372.000000,366.350006,367.040009,360.650970,1849800
2020-09-17,355.000000,370.119995,355.000000,365.920013,359.550446,2286200
2020-09-18,367.119995,367.839996,355.049988,359.730011,353.468201,3529500
2020-09-21,350.010010,351.959991,343.480011,351.790009,348.817841,2419800
2020-09-22,356.369995,361.799988,352.950012,361.589996,358.535034,1950000
2020-09-23,360.179993,361.209991,350.049988,351.589996,348.619507,1554200
2020-09-24,350.200012,357.570007,349.089996,352.519989,349.541656,1361100
2020-09-25,352.049988,357.720001,348.279999,356.799988,353.785492,1818300
2020-09-28,361.679993,368.429993,359.029999,367.299988,364.196777,2219200
2020-09-29,367.489990,370.799988,363.989990,364.260010,361.182465,1372200
2020-09-30,362.950012,371.000000,361.709991,364.320007,361.241974,2239600
2020-10-01,368.980011,370.709991,364.820007,368.600006,365.485809,1601600
2020-10-02,360.000000,364.920013,356.149994,356.829987,353.815216,1710000
2020-10-05,360.839996,366.850006,359.899994,366.100006,363.006927,1892300
2020-10-06,366.109985,372.000000,362.019989,363.980011,360.904846,1667200
2020-10-07,368.350006,369.859985,366.059998,366.739990,363.641510,1274700
2020-10-08,369.890015,374.290009,368.309998,373.329987,370.175812,1704500
2020-10-09,375.929993,380.000000,374.000000,376.700012,373.517365,1725300
2020-10-12,381.790009,385.100006,379.790009,382.429993,379.198944,1883900
2020-10-13,384.410004,387.799988,378.609985,381.489990,378.266876,1673100
2020-10-14,383.540009,383.739990,377.850006,380.299988,377.086945,1729800
2020-10-15,375.049988,380.489990,375.019989,379.929993,376.720062,1436100
2020-10-16,383.279999,383.279999,378.149994,378.649994,375.450897,1029500
2020-10-19,381.239990,383.609985,375.149994,375.769989,372.595215,1480300
2020-10-20,377.010010,381.140015,375.559998,376.989990,373.804901,1329700
2020-10-21,375.769989,376.859985,370.309998,372.049988,368.906647,1189600
2020-10-22,371.079987,374.309998,367.109985,373.369995,370.215485,1354700
2020-10-23,373.260010,373.940002,370.760010,372.720001,369.570984,886800
2020-10-26,369.600006,369.959991,357.609985,363.040009,359.972778,1550900
2020-10-27,365.179993,365.179993,359.220001,359.600006,356.561859,962000
2020-10-28,354.000000,354.859985,345.529999,347.209991,344.276520,2233100
